polygon_number,point_order,longitude,latitude,tractce10,aland10,geom
45,113,-122.42179,37.80837,010200,515572,POINT (-122.421790000208 37.8083740004598)
46,24,-122.41723,37.80517,010100,776482,POINT (-122.41722600018 37.8051700001954)
46,1178,-122.40877,37.80946,010100,776482,POINT (-122.408768000443 37.8094559999944)
46,812,-122.40957,37.81016,010100,776482,POINT (-122.409570000555 37.810157000845)
46,1046,-122.40919,37.80978,010100,776482,POINT (-122.40918699998 37.8097780004544)
47,9,-122.44422,37.77321,980300,4345271,POINT (-122.444216000168 37.7732120004335)
190,38,-122.37076,37.73325,017902,2720913,POINT (-122.370763000612 37.7332510003334)
46,944,-122.40873,37.80975,010100,776482,POINT (-122.408728000397 37.8097450007313)
53,2,-122.48874,37.77611,047801,475941,POINT (-122.488741000297 37.7761070008375)
42,19,-122.40068,37.79678,010500,683666,POINT (-122.400680999828 37.796777000758)
46,752,-122.40867,37.81004,010100,776482,POINT (-122.408674000605 37.8100350006148)
47,273,-122.47561,37.77296,980300,4345271,POINT (-122.475614000186 37.7729620005959)
47,91,-122.47177,37.76972,980300,4345271,POINT (-122.47177400027 37.76972200047)
46,853,-122.41018,37.81023,010100,776482,POINT (-122.410175999723 37.8102330007524)
40,196,-122.3862,37.748,980900,3586378,POINT (-122.386204000414 37.7480040007841)
46,1276,-122.40864,37.80932,010100,776482,POINT (-122.408635000605 37.8093150006868)
42,13,-122.39897,37.79428,010500,683666,POINT (-122.398970000065 37.7942840000067)
43,43,-122.4048,37.8029,010400,335738,POINT (-122.404797999928 37.8029010007806)
42,122,-122.39383,37.79894,010500,683666,POINT (-122.393832000546 37.7989420007728)
46,1410,-122.40876,37.80907,010100,776482,POINT (-122.408763000212 37.8090670000421)
47,130,-122.47668,37.77057,980300,4345271,POINT (-122.476681999974 37.7705650006743)
46,737,-122.40846,37.81001,010100,776482,POINT (-122.40846499996 37.8100070002229)
40,228,-122.38623,37.74721,980900,3586378,POINT (-122.386233999999 37.7472100001414)
42,129,-122.3953,37.79739,010500,683666,POINT (-122.39530400008 37.7973940004328)
49,55,-122.38763,37.78487,061500,1669699,POINT (-122.38763100057 37.7848650000198)
46,621,-122.40999,37.81071,010100,776482,POINT (-122.409991000185 37.8107060000819)
46,211,-122.41082,37.80964,010100,776482,POINT (-122.410822999882 37.8096380002935)
40,125,-122.39555,37.75237,980900,3586378,POINT (-122.39554800054 37.7523690006289)
46,1622,-122.40895,37.80869,010100,776482,POINT (-122.408947000604 37.8086910006892)
46,1233,-122.40805,37.80914,010100,776482,POINT (-122.408045000376 37.8091439999957)
46,505,-122.4095,37.81093,010100,776482,POINT (-122.409503000163 37.8109310005653)
46,357,-122.41147,37.81047,010100,776482,POINT (-122.411472000133 37.8104670007515)
190,48,-122.37118,37.73363,017902,2720913,POINT (-122.371182000149 37.7336310007701)
46,660,-122.40966,37.81042,010100,776482,POINT (-122.409660000209 37.8104190003367)
42,151,-122.39352,37.79726,010500,683666,POINT (-122.393517000409 37.7972580004564)
47,44,-122.47696,37.76791,980300,4345271,POINT (-122.476958000112 37.7679120006384)
47,185,-122.51255,37.76393,980300,4345271,POINT (-122.51254800009 37.7639330006076)
47,103,-122.47401,37.76939,980300,4345271,POINT (-122.474006999823 37.7693910004944)
46,52,-122.41897,37.8094,010100,776482,POINT (-122.418970000565 37.8093969999716)
46,1198,-122.40849,37.80942,010100,776482,POINT (-122.408494000398 37.8094190000868)
44,10,-122.41228,37.7991,010300,268266,POINT (-122.412282999761 37.7990960006799)
46,1627,-122.40887,37.80867,010100,776482,POINT (-122.408868000558 37.8086680005279)
46,224,-122.41097,37.80947,010100,776482,POINT (-122.410969000319 37.8094670005017)
42,90,-122.39549,37.79946,010500,683666,POINT (-122.395491999756 37.799462000471)
46,1462,-122.40805,37.80897,010100,776482,POINT (-122.408053999892 37.8089720001577)
45,118,-122.42142,37.80835,010200,515572,POINT (-122.421417000094 37.8083460000679)
190,6,-122.37446,37.73744,017902,2720913,POINT (-122.37445700009 37.7374370000176)
43,11,-122.40622,37.80175,010400,335738,POINT (-122.406217000614 37.8017480006698)
46,1114,-122.40964,37.80957,010100,776482,POINT (-122.409637000048 37.8095720008472)
49,12,-122.38824,37.79001,061500,1669699,POINT (-122.388244000061 37.7900070006226)
53,28,-122.49023,37.77991,047801,475941,POINT (-122.490231999807 37.7799109999927)
46,340,-122.41107,37.81014,010100,776482,POINT (-122.411072999719 37.8101390000149)
45,17,-122.42469,37.81053,010200,515572,POINT (-122.424685000612 37.810534000244)
46,982,-122.40831,37.80966,010100,776482,POINT (-122.408313000145 37.809662000501)
46,76,-122.41735,37.80814,010100,776482,POINT (-122.417345000272 37.8081410005068)
46,1476,-122.40786,37.80885,010100,776482,POINT (-122.407855000608 37.8088480007347)
46,184,-122.41116,37.80891,010100,776482,POINT (-122.411160000134 37.8089070007575)
46,1131,-122.40944,37.80946,010100,776482,POINT (-122.409439999956 37.8094570000406)
46,1265,-122.40849,37.8092,010100,776482,POINT (-122.408486000029 37.8092030000185)
46,473,-122.41005,37.81136,010100,776482,POINT (-122.4100520003 37.811355000333)
46,1495,-122.40811,37.80886,010100,776482,POINT (-122.408107000538 37.8088600003887)
47,90,-122.47172,37.76972,980300,4345271,POINT (-122.471718000385 37.7697190003316)
46,589,-122.40935,37.81062,010100,776482,POINT (-122.409350000302 37.8106170004742)
49,92,-122.39684,37.78212,061500,1669699,POINT (-122.396840999912 37.7821190001918)
46,705,-122.40883,37.81031,010100,776482,POINT (-122.408827000466 37.8103060005216)
45,8,-122.42076,37.80908,010200,515572,POINT (-122.420760000374 37.8090849999728)
46,454,-122.40961,37.81135,010100,776482,POINT (-122.409607000463 37.8113450007712)
47,7,-122.4475,37.77279,980300,4345271,POINT (-122.447497000386 37.772790000758)
46,885,-122.40962,37.80986,010100,776482,POINT (-122.409623000301 37.8098600006386)
45,34,-122.42629,37.80991,010200,515572,POINT (-122.426288999937 37.8099050000158)
46,490,-122.40985,37.81084,010100,776482,POINT (-122.40985200007 37.8108420000583)
47,41,-122.46095,37.76613,980300,4345271,POINT (-122.460954000427 37.7661260001149)
46,606,-122.40965,37.81079,010100,776482,POINT (-122.409650999794 37.8107920004505)
46,93,-122.41932,37.81038,010100,776482,POINT (-122.419315000287 37.8103810003829)
49,44,-122.38702,37.78725,061500,1669699,POINT (-122.387020000273 37.787247000149)
47,79,-122.47512,37.76554,980300,4345271,POINT (-122.475118999842 37.7655440002554)
47,47,-122.46316,37.76611,980300,4345271,POINT (-122.463158000441 37.766107000138)
48,3,-122.39162,37.75261,061400,797778,POINT (-122.391615999978 37.7526060007664)
46,1082,-122.40968,37.80984,010100,776482,POINT (-122.409675000001 37.8098420007078)
46,1508,-122.4083,37.80889,010100,776482,POINT (-122.408300000445 37.8088860006885)
190,13,-122.37242,37.73537,017902,2720913,POINT (-122.372422999822 37.7353720001178)
46,934,-122.40887,37.80987,010100,776482,POINT (-122.408865000419 37.8098740003849)
46,1640,-122.40873,37.80852,010100,776482,POINT (-122.408726000305 37.8085150006668)
46,445,-122.40941,37.81132,010100,776482,POINT (-122.409406000187 37.8113160003332)
46,1314,-122.40916,37.8093,010100,776482,POINT (-122.409162999773 37.8092950006638)
46,586,-122.40924,37.81073,010100,776482,POINT (-122.409239999726 37.8107340004738)
